"LVL";"SON";"DAD";"CONSTRAINT_TYPE"
"1";"CLIFOR";"";""
"2";"EMPRESA";"CLIFOR";"P"
"3";"ITEMCOMPRA";"EMPRESA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRACCUSTO";"EMPRESA";"P"
"3";"ITEMCOMPRANEGOCIO";"EMPRESA";"P"
"3";"ITEMEMPRESA";"EMPRESA";"P"
"4";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"5";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"PREITEMCOMPRA";"EMPRESA";"P"
"3";"PROJETOCOMPRA";"EMPRESA";"P"
"4";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"USUARIO";"EMPRESA";"P"
"4";"ITEM";"USUARIO";"P"
"5";"ITEMEMPRESA";"ITEM";"P"
"6";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"7";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"6";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"7";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"8";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"8";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"5";"PREITEMCOMPRA";"ITEM";"P"
"4";"ITEMCOMPRA";"USUARIO";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRACCUSTO";"USUARIO";"P"
"4";"ITEMCOMPRANEGOCIO";"USUARIO";"P"
"4";"PREITEMCOMPRA";"USUARIO";"P"
"2";"PROJETOCOMPRA";"CLIFOR";"P"
"3";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"2";"USUARIO";"CLIFOR";"P"
"3";"ITEM";"USUARIO";"P"
"4";"ITEMEMPRESA";"ITEM";"P"
"5";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"5";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"6";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"7";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"PREITEMCOMPRA";"ITEM";"P"
"3";"ITEMCOMPRA";"USUARIO";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRACCUSTO";"USUARIO";"P"
"3";"ITEMCOMPRANEGOCIO";"USUARIO";"P"
"3";"PREITEMCOMPRA";"USUARIO";"P"
"1";"CONDICAOFISCAL";"";""
"2";"ITEMEMPRESA";"CONDICAOFISCAL";"P"
"3";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"4";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"1";"DEPARTAMENTOCOMPRA";"";""
"2";"ITEMCOMPRA";"DEPARTAMENTOCOMPRA";"P"
"3";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"2";"PROJETOCOMPRA";"DEPARTAMENTOCOMPRA";"P"
"3";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"1";"EMPRESA";"";""
"2";"ITEMCOMPRA";"EMPRESA";"P"
"3";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"2";"ITEMCOMPRACCUSTO";"EMPRESA";"P"
"2";"ITEMCOMPRANEGOCIO";"EMPRESA";"P"
"2";"ITEMEMPRESA";"EMPRESA";"P"
"3";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"4";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"2";"PREITEMCOMPRA";"EMPRESA";"P"
"2";"PROJETOCOMPRA";"EMPRESA";"P"
"3";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"2";"USUARIO";"EMPRESA";"P"
"3";"CLIFOR";"USUARIO";"P"
"4";"PROJETOCOMPRA";"CLIFOR";"P"
"5";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEM";"USUARIO";"P"
"4";"ITEMEMPRESA";"ITEM";"P"
"5";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"5";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"6";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"7";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"PREITEMCOMPRA";"ITEM";"P"
"3";"ITEMCOMPRA";"USUARIO";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRACCUSTO";"USUARIO";"P"
"3";"ITEMCOMPRANEGOCIO";"USUARIO";"P"
"3";"PREITEMCOMPRA";"USUARIO";"P"
"1";"IDIOMA";"";""
"2";"EMPRESA";"IDIOMA";"P"
"3";"ITEMCOMPRA";"EMPRESA";"P"
"4";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"ITEMCOMPRACCUSTO";"EMPRESA";"P"
"3";"ITEMCOMPRANEGOCIO";"EMPRESA";"P"
"3";"ITEMEMPRESA";"EMPRESA";"P"
"4";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"5";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"PREITEMCOMPRA";"EMPRESA";"P"
"3";"PROJETOCOMPRA";"EMPRESA";"P"
"4";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"3";"USUARIO";"EMPRESA";"P"
"4";"CLIFOR";"USUARIO";"P"
"5";"PROJETOCOMPRA";"CLIFOR";"P"
"6";"ITEMCOMPRA";"PROJETOCOMPRA";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"7";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"ITEM";"USUARIO";"P"
"5";"ITEMEMPRESA";"ITEM";"P"
"6";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"7";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"6";"ITEMLOCALARMAZ";"ITEMEMPRESA";"P"
"7";"ITEMCOMPRA";"ITEMLOCALARMAZ";"P"
"8";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"8";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"5";"PREITEMCOMPRA";"ITEM";"P"
"4";"ITEMCOMPRA";"USUARIO";"P"
"5";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"4";"ITEMCOMPRACCUSTO";"USUARIO";"P"
"4";"ITEMCOMPRANEGOCIO";"USUARIO";"P"
"4";"PREITEMCOMPRA";"USUARIO";"P"
"2";"USUARIO";"IDIOMA";"P"
"3";"CLIFOR";"USUARIO";"P"
"4";"EMPRESA";"CLIFOR";"P"
"5";"ITEMCOMPRA";"EMPRESA";"P"
"6";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
"6";"ITEMCOMPRANEGOCIO";"ITEMCOMPRA";"P"
"5";"ITEMCOMPRACCUSTO";"EMPRESA";"P"
"5";"ITEMCOMPRANEGOCIO";"EMPRESA";"P"
"5";"ITEMEMPRESA";"EMPRESA";"P"
"6";"ITEMCOMPRA";"ITEMEMPRESA";"P"
"7";"ITEMCOMPRACCUSTO";"ITEMCOMPRA";"P"
